cf_id,contact_id,company_name,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",100.0,0.0,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
1621,3765,Odom Inc,1400.0,14560.0,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
1812,4187,"Melton, Robinson and Fritz",108400.0,142523.0,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat3,subcat3
2156,4941,"Mcdonald, Gonzalez and Ross",4200.0,2477.0,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
1365,2199,Larson-Little,7600.0,5265.0,failed,53,US,USD,2020-12-21,2021-08-23,cat4,subcat4
2057,5650,Harris Group,7600.0,13195.0,successful,174,DK,DKK,2020-12-11,2021-08-29,cat4,subcat4
1894,5889,"Ortiz, Coleman and Mitchell",5200.0,1090.0,failed,18,GB,GBP,2020-07-31,2021-05-11,cat5,subcat5
2669,4842,Carter-Guzman,4500.0,14741.0,successful,227,DK,DKK,2020-12-22,2021-09-21,cat4,subcat4
1114,3280,Nunez-Richards,110100.0,21946.0,live,708,DK,DKK,2020-04-08,2021-03-10,cat4,subcat4
970,5468,"Rangel, Holt and Jones",6200.0,3208.0,failed,44,US,USD,2021-08-13,2021-08-31,cat2,subcat6
2340,3064,Green Ltd,5200.0,13838.0,successful,220,US,USD,2020-07-11,2021-08-02,cat5,subcat7
601,4904,"Perez, Johnson and Gardner",6300.0,3030.0,failed,27,US,USD,2020-08-11,2021-06-26,cat4,subcat4
1950,1299,Kim Ltd,6300.0,5629.0,failed,55,US,USD,2020-11-14,2021-04-09,cat5,subcat7
671,5602,"Walker, Taylor and Coleman",4200.0,10295.0,successful,98,US,USD,2020-11-11,2021-11-06,cat2,subcat8
1683,5753,"Rodriguez, Rose and Stewart",28200.0,18829.0,failed,200,US,USD,2021-11-14,2022-01-02,cat2,subcat8
505,4495,"Wright, Hunt and Rowe",81200.0,38414.0,failed,452,US,USD,2021-10-25,2021-12-16,cat3,subcat9
1245,4269,Hines Inc,1700.0,11041.0,successful,100,US,USD,2021-08-20,2021-12-22,cat6,subcat10
2550,2226,Cochran-Nguyen,84600.0,134845.0,successful,1249,US,USD,2020-04-12,2021-03-24,cat5,subcat11
875,1558,Johnson-Gould,9100.0,6089.0,canceled,135,US,USD,2021-03-24,2022-01-27,cat4,subcat4
2283,2307,Perez-Hess,62500.0,30331.0,failed,674,US,USD,2021-10-12,2021-11-17,cat4,subcat4
118,2900,"Reeves, Thompson and Richardson",131800.0,147936.0,successful,1396,US,USD,2020-04-12,2021-04-09,cat5,subcat7
711,5695,Simmons-Reynolds,94000.0,38533.0,failed,558,US,USD,2021-03-14,2021-04-29,cat4,subcat4
1747,5708,Collier Inc,59100.0,75690.0,successful,890,US,USD,2020-07-06,2021-08-04,cat4,subcat4
1825,1663,Gray-Jenkins,4500.0,14942.0,successful,142,GB,GBP,2021-07-23,2021-09-12,cat5,subcat5
1019,3605,"Scott, Wilson and Martin",92400.0,104257.0,successful,2673,US,USD,2021-05-01,2021-10-01,cat3,subcat9
821,4678,"Caldwell, Velazquez and Wilson",5500.0,11904.0,successful,163,US,USD,2020-10-09,2021-05-23,cat7,subcat12
2653,2251,Spencer-Bates,107500.0,51814.0,canceled,1480,US,USD,2020-11-20,2021-07-27,cat4,subcat4
2502,6202,"Best, Carr and Williams",2000.0,1599.0,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
